tempo_s,erro_posicao_m,erro_orientacao_deg
0.0,5.6682080373180055,3.936870684964913
146.05,5.668208127544916,3.9368706885448597
146.06,5.668208217772488,3.9368706921247703
146.07,5.668208308000719,3.936870695704642
146.08,5.668208398229612,3.9368706992844875
146.09,5.668208488459165,3.9368707028642915
146.1,5.668208578689377,3.9368707064440582
146.11,5.66820866892025,3.9368707100237854
146.12,5.668208759151784,3.9368707136034815
146.13,5.668208849383976,3.9368707171831403
146.14,5.668208939616832,3.9368707207627582
146.15,5.668209029850346,3.9368707243423398
146.16,5.668209120084521,3.936870727921891
146.17,5.668209210319356,3.9368707315013953
146.17,5.668209300554851,3.936870735080864
146.19,5.668209390791008,3.936870738660292
146.2,5.668209481027824,3.936870742239686
146.21,5.668209571265301,3.9368707458190584
146.22,5.668209661503436,3.93687074939839
146.23,5.668209751742235,3.9368707529776796
146.24,5.668209841981692,3.9368707565569374
146.25,5.668209932221811,3.9368707601361628
146.25,5.668210022462589,3.9368707637153335
146.27,5.668210112704028,3.9368707672944767
146.28,5.668210202946127,3.9368707708735826
146.29,5.668210293188887,3.936870774452649
146.3,5.668210383432307,3.936870778031681
146.31,5.668210473676388,3.9368707816106783
146.32,5.668210563921129,3.9368707851896416
146.33,5.66821065416653,3.936870788768553
146.34,5.668210744412593,3.9368707923474333
146.34,5.668210834659314,3.936870795926284
146.36,5.668210924906698,3.9368707995051015
146.36,5.668211015154741,3.9368708030838766
146.38,5.668211105403446,3.9368708066626135
146.39,5.668211195652809,3.936870810241311
146.4,5.668211285902835,3.93687081381997
146.41,5.668211376153519,3.936870817398595
146.42,5.668211466404865,3.9368708209771732
146.43,5.668211556656872,3.936870824555726
146.44,5.668211646909539,3.936870828134241
146.45,5.668211737162865,3.9368708317127132
146.46,5.668211827416854,3.936870835291149
146.47,5.668211917671502,3.9368708388695457
146.48,5.668212007926811,3.936870842447909
146.49,5.66821209818278,3.936870846026239
146.5,5.668212188439409,3.9368708496045373
146.5,5.668212278696698,3.9368708531827874
146.52,5.6682123689546495,3.936870856761011
146.53,5.668212459213261,3.936870860339194
146.54,5.668212549472532,3.9368708639173433
146.55,5.668212639732465,3.9368708674954394
146.56,5.668212729993057,3.9368708710735136
146.57,5.668212820254311,3.9368708746515515
146.57,5.668212910516225,3.936870878229545
146.59,5.668213000778799,3.9368708818075056
146.6,5.668213091042034,3.936870885385433
146.61,5.66821318130593,3.9368708889633193
146.62,5.668213271570487,3.936870892541169
146.63,5.668213361835703,3.936870896118976
146.64,5.668213452101581,3.936870899696752
146.65,5.668213542368118,3.9368709032744924
146.66,5.668213632635317,3.936870906852201
146.67,5.668213722903177,3.9368709104298594
146.68,5.668213813171696,3.9368709140074816
146.69,5.668213903440877,3.936870917585084
146.7,5.668213993710718,3.9368709211626403
146.71,5.668214083981219,3.9368709247401608
146.72,5.668214174252381,3.936870928317639
146.73,5.668214264524205,3.936870931895082
146.74,5.66821435479669,3.936870935472488
146.75,5.668214445069833,3.9368709390498617
146.76,5.668214535343638,3.93687094262721
146.77,5.668214625618104,3.9368709462045084
146.78,5.66821471589323,3.9368709497817664
146.79,5.668214806169017,3.936870953358982
146.8,5.668214896445464,3.9368709569361737
146.81,5.668214986722572,3.9368709605133296
146.82,5.66821507700034,3.936870964090449
146.83,5.66821516727877,3.9368709676675318
146.84,5.66821525755786,3.9368709712445735
146.85,5.668215347837611,3.93687097482158
146.86,5.668215438118023,3.9368709783985496
146.87,5.668215528399095,3.9368709819754746
146.88,5.668215618680828,3.936870985552368
146.89,5.668215708963222,3.936870989129219
146.9,5.668215799246275,3.936870992706038
146.91,5.668215889529991,3.9368709962828143
146.92,5.6682159798143665,3.9368709998595524
146.93,5.668216070099404,3.93687100343625
146.94,5.668216160385101,3.9368710070129214
146.94,5.66821625067146,3.936871010589561
146.96,5.668216340958478,3.936871014166165
146.97,5.668216431246157,3.936871017742732
146.98,5.668216521534497,3.936871021319267
146.99,5.668216611823498,3.9368710248957632
147.0,5.668216702113161,3.9368710284722326
147.01,5.6682167924034825,3.9368710320486566
147.02,5.668216882694465,3.9368710356250363
147.02,5.668216972986109,3.9368710392013853
147.04,5.668217063278413,3.9368710427776956
147.05,5.668217153571379,3.9368710463539647
147.06,5.668217243865005,3.9368710499301818
147.07,5.6682173341592925,3.9368710535063625
147.08,5.668217424454241,3.936871057082516
147.09,5.668351051213643,3.9388675020294324
147.1,5.668643615058474,3.9495939194758773
147.1,5.669088044738686,3.9660836843520775
147.12,5.669643866109,3.9906128447558404
147.13,5.670356781915427,4.017096724314315
147.14,5.671208317647045,4.049949952232486
147.15,5.672209076807569,4.0871328521265005
147.16,5.673353247940397,4.131220957045103
147.17,5.674645372054448,4.1826099686521365
147.18,5.676087802969021,4.242042164920459
147.19,5.677682750545848,4.310363379226026
147.2,5.679432476312757,4.388571386020322
147.21,5.681339199638039,4.477847770231576
147.22,5.6834088394942075,4.579123625434139
147.23,5.685645728787428,4.6927605573991125
147.23,5.688066599252164,4.819323748447842
147.25,5.690671677693441,4.959704772363265
147.26,5.693445739887919,5.114863206808606
147.27,5.69633319806881,5.271895728472656
147.28,5.6992961095025105,5.424445449056805
