tempo_ros,gt_x,gt_y,gt_yaw,amcl_x,amcl_y,amcl_yaw
189.51,4.651849383810482,2.999738772524772,-7.712596409024265e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.52,4.651849495400541,2.9997387729501868,-7.712602372878933e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.53,4.651849606991418,2.9997387733756016,-7.712608336698474e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.54,4.651849718583114,2.9997387738010164,-7.712614300444167e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.55,4.651849830175628,2.9997387742264308,-7.712620264117205e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.56,4.651849941768961,2.999738774651845,-7.712626227714939e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.57,4.651850053363112,2.9997387750772595,-7.712632191265614e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.58,4.651850164958081,2.999738775502674,-7.712638154745007e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.59,4.651850276553869,2.9997387759280882,-7.712644118132665e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.59,4.651850388150475,2.999738776353502,-7.71265008147197e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.61,4.6518504997479,2.999738776778916,-7.712656044747576e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.62,4.651850611346144,2.99973877720433,-7.712662007974561e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.63,4.6518507229452055,2.9997387776297435,-7.712667971116297e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.64,4.651850834545086,2.999738778055157,-7.71267393420446e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.65,4.651850946145785,2.9997387784805705,-7.712679897225779e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.65,4.651851057747303,2.9997387789059835,-7.712685860174902e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.67,4.651851169349639,2.9997387793313965,-7.712691823050832e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.67,4.651851280952794,2.9997387797568096,-7.712697785846895e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.68,4.651851392556767,2.999738780182223,-7.712703748589244e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.7,4.651851504161559,2.9997387806076357,-7.71270971126065e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.71,4.651851615767169,2.9997387810330483,-7.712715673862575e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.72,4.651851727373598,2.999738781458461,-7.7127216364048e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.73,4.651851838980845,2.9997387818838734,-7.712727598873733e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.74,4.651851950588912,2.999738782309286,-7.712733561285373e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.75,4.651852062197797,2.999738782734698,-7.712739523631992e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.76,4.651852173807501,2.9997387831601103,-7.712745485911578e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.77,4.651852285418022,2.999738783585522,-7.712751448115807e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.78,4.651852397029363,2.9997387840109337,-7.712757410258162e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.79,4.6518525086415226,2.999738784436346,-7.712763372328807e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.8,4.651852620254501,2.9997387848617576,-7.712769334309509e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.81,4.651852731868297,2.999738785287169,-7.712775296219862e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.82,4.651852843482913,2.99973878571258,-7.712781258092501e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.83,4.651852955098346,2.999738786137992,-7.712787219886307e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.83,4.651853066714598,2.999738786563403,-7.71279318161488e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.85,4.6518531783316694,2.999738786988814,-7.712799143284719e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.86,4.651853289949559,2.999738787414225,-7.71280510489833e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.87,4.6518534015682675,2.999738787839636,-7.712811066442571e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.88,4.6518535131877945,2.999738788265047,-7.712817027923082e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.89,4.65185362480814,2.999738788690457,-7.712822989327538e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.9,4.651853736429305,2.999738789115868,-7.712828950658953e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.9,4.651853848051288,2.9997387895412784,-7.712834911921117e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.92,4.6518539596740895,2.9997387899666887,-7.712840873118011e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.93,4.65185407129771,2.999738790392099,-7.712846834254992e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.94,4.65185418292215,2.999738790817509,-7.71285279530724e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.95,4.651854294547408,2.999738791242919,-7.712858756299154e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.96,4.651854406173485,2.999738791668329,-7.712864717221627e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.97,4.6518545178003805,2.9997387920937384,-7.712870678084863e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.98,4.651854629428095,2.9997387925191483,-7.712876638873134e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
189.99,4.651854741056628,2.999738792944558,-7.712882599599523e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.0,4.651854852685979,2.999738793369967,-7.712888560265973e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.01,4.65185496431615,2.9997387937953763,-7.712894520852734e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.02,4.651855075947139,2.9997387942207854,-7.712900481378175e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.03,4.6518551875789464,2.999738794646195,-7.712906441836422e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.04,4.651855299211573,2.9997387950716035,-7.712912402219262e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.05,4.651855410845019,2.9997387954970125,-7.712918362549851e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.06,4.651855522479284,2.999738795922421,-7.712924322815693e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.07,4.6518556341143675,2.99973879634783,-7.712930282989689e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.08,4.651855745750269,2.9997387967732383,-7.712936243113412e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.09,4.65185585738699,2.9997387971986464,-7.712942203171203e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.1,4.65185596902453,2.999738797624055,-7.712948163159134e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.11,4.651856080662889,2.999738798049463,-7.712954123092198e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.12,4.651856192302066,2.9997387984748713,-7.712960082967185e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.13,4.651856303942063,2.999738798900279,-7.712966042775311e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.14,4.651856415582878,2.999738799325687,-7.712972002497242e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.15,4.6518565272245125,2.9997387997510945,-7.71297796216035e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.16,4.651856638866965,2.999738800176502,-7.712983921766049e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.17,4.651856750510237,2.99973880060191,-7.712989881294299e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.18,4.651856862154328,2.999738801027317,-7.712995840761197e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.19,4.651856973799237,2.9997388014527244,-7.713001800180098e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.2,4.6518570854449655,2.9997388018781312,-7.713007759508601e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.21,4.651857197091513,2.9997388023035385,-7.713013718768342e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.22,4.651857308738879,2.9997388027289453,-7.713019677976852e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.23,4.651857420387063,2.999738803154352,-7.713025637096931e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.24,4.6518575320360664,2.999738803579759,-7.713031596157121e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.25,4.651857643685889,2.9997388040051653,-7.71303755514906e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.26,4.65185775533653,2.999738804430572,-7.713043514086964e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.27,4.65185786698799,2.999738804855978,-7.713049472962092e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.28,4.651857978640269,2.9997388052813845,-7.713055431758436e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.29,4.651858090293368,2.999738805706791,-7.71306139048796e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.3,4.651858201947285,2.9997388061321963,-7.713067349144541e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.31,4.6518583136020215,2.9997388065576023,-7.713073307719282e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.32,4.6518584252575765,2.999738806983008,-7.713079266235356e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.33,4.6518585369139505,2.9997388074084137,-7.713085224679843e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.34,4.651858648571143,2.999738807833819,-7.713091183061357e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.35,4.651858760229155,2.9997388082592247,-7.713097141386562e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.36,4.651858871887986,2.9997388086846297,-7.713103099637375e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.37,4.651858983547635,2.999738809110035,-7.713109057832842e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.38,4.6518590952081045,2.9997388095354403,-7.71311501595188e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.39,4.651859206869392,2.9997388099608453,-7.713120974017802e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.4,4.651859318531499,2.99973881038625,-7.713126932001615e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.41,4.651859430194424,2.999738810811655,-7.713132889924042e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.42,4.65185954185817,2.9997388112370595,-7.713138847780605e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.43,4.651859653522734,2.999738811662464,-7.713144805559796e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.44,4.651859765188116,2.9997388120878683,-7.713150763278069e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.45,4.651859876854319,2.9997388125132725,-7.713156720936168e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.46,4.651859988521339,2.9997388129386766,-7.713162678514784e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.46,4.65186010018918,2.9997388133640808,-7.713168636030772e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.48,4.651860211857839,2.9997388137894845,-7.713174593495054e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.49,4.651860323527317,2.999738814214888,-7.713180550898081e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.5,4.651860435197613,2.999738814640292,-7.713186508233852e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.51,4.65186054686873,2.9997388150656956,-7.713192465509261e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.52,4.651860658540666,2.9997388154910993,-7.713198422719642e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
190.52,4.65186077021342,2.999738815916503,-7.713204379859849e-05,-0.0844340902150607,-0.17431549816450928,-0.005369477857449345
